block_id,verdict,footprint_class,ops_touched
timm__RegNet__d55c9518,Abstain,audited,
timm__RegStage__0f4a69de,Abstain,audited,
timm__ClassAttentionBlock__724bc7b8,Abstain,tested-only,cat|creation_ops|gelu|layer_norm
timm__ConvPatchEmbed__208dd6fd,Abstain,audited,flatten|gelu|transpose
timm__LPI__d0666c5f,Abstain,tested-only,batch_norm|conv2d|gelu|permute|reshape
timm__PositionalEncodingFourier__03ca7b4f,Refuted,tested-only,cat|conv2d|creation_ops|elementwise_binary|flatten|permute|repeat|stack|to|unsqueeze
timm__XCA__14db1190,Abstain,tested-only,creation_ops|dropout|linear|permute|reshape|transpose|unbind
timm__XCABlock__1aa9c779,Abstain,tested-only,creation_ops|gelu|layer_norm
timm__Xcit__d8f8dfd8,Abstain,tested-only,cat|checkpoint|contiguous|creation_ops|dropout|expand|gelu|layer_norm|linear|permute|reduce|reshape
timm__Attention2d__b573c895,Abstain,audited,chunk|contiguous|conv2d|dropout|reshape|transpose|unbind|view
timm__AttentionCl__81d4b162,Abstain,audited,chunk|dropout|linear|reshape|transpose|unbind|view
timm__ConvNeXtBlock__7ac76913,Abstain,audited,conv2d|permute
timm__Downsample2d__f53cda31,Abstain,audited,conv2d|expand
timm__MaxxVit__2c4deb67,Abstain,audited,
timm__MaxxVitBlock__fbb3879c,Abstain,audited,permute
timm__MaxxVitStage__71291cd4,Verified,audited,
timm__MbConvBlock__01ae95fd,Abstain,audited,
timm__ParallelMaxxVitBlock__16c23033,Abstain,audited,permute
timm__ParallelPartitionAttention__2c8fbbd5,Abstain,audited,cat
timm__PartitionAttention2d__01e392ca,Abstain,audited,
timm__PartitionAttentionCl__aeba57a3,Abstain,audited,
timm__Stem__11b2bbe5,Abstain,audited,
timm__TransformerBlock2d__51206f56,Abstain,audited,
timm__Downsample__3e663d77,Abstain,audited,conv2d
timm__FocalModulation__90fdcf49,Abstain,audited,conv2d|dropout|gelu|reduce|split
timm__FocalNet__7032a739,Abstain,audited,
timm__FocalNetBlock__0ab5fc43,Abstain,audited,gelu
timm__FocalNetStage__80643dac,Verified,tested-only,checkpoint
timm__ChannelAttention__1ba2cfb8,Refuted,audited,linear|permute|reshape|transpose|unbind
timm__ChannelAttentionV2__eea03f08,Refuted,audited,linear|permute|reshape|transpose|unbind
timm__ChannelBlock__2289a984,Abstain,audited,flatten|gelu|layer_norm|transpose|view
timm__ConvPosEnc__8c9449a2,Abstain,audited,conv2d|gelu
timm__DaVit__aba3fde4,Abstain,tested-only,checkpoint|layer_norm|linear
timm__DaVitStage__5abae383,Verified,audited,layer_norm
timm__Downsample__6415ce59,Abstain,audited,conv2d|pad
timm__SpatialBlock__f859e43f,Abstain,audited,contiguous|flatten|gelu|layer_norm|pad|transpose|view
timm__Stem__1a50d7df,Abstain,audited,conv2d|pad
timm__WindowAttention__cf6bfdd8,Abstain,audited,linear|permute|reshape|scaled_dot_product_attention|softmax|transpose|unbind
timm__MultiScaleAttention__e287ef74,Abstain,tested-only,avg_pool2d|conv2d|creation_ops|layer_norm|linear|max_pool2d|permute|reshape|transpose|unbind
timm__MultiScaleAttentionPoolFirst__0cb0500f,Abstain,tested-only,avg_pool2d|conv2d|creation_ops|layer_norm|linear|max_pool2d|permute|reshape|transpose
timm__MultiScaleBlock__9124bb4e,Abstain,tested-only,cat|contiguous|layer_norm|linear|max_pool2d|permute|reshape|transpose
timm__MultiScaleVit__1fdce1df,Abstain,tested-only,cat|creation_ops|dropout|expand|linear|permute|reduce|reshape
timm__MultiScaleVitStage__59c4e020,Verified,tested-only,checkpoint|layer_norm
timm__PatchEmbed__7f433b21,Refuted,audited,conv2d|flatten|transpose
timm__CrossAttention__4bacd45e,Refuted,audited,dropout|linear|permute|reshape|transpose
timm__CrossAttentionBlock__50699d9e,Abstain,audited,gelu|layer_norm
timm__CrossVit__f8a3d9e3,Abstain,tested-only,cat|creation_ops|dropout|expand|layer_norm|linear|reduce|stack
timm__MultiScaleBlock__d9e6cc4a,Abstain,audited,cat|gelu|layer_norm|linear
timm__PatchEmbed__9a45599b,Abstain,audited,conv2d|flatten|relu|transpose
timm__Downsample2d__381e6ea5,Abstain,tested-only,avg_pool2d|conv2d|gelu|max_pool2d
timm__FeatureBlock__bf60f135,Verified,tested-only,avg_pool2d|gelu|max_pool2d
timm__GlobalContextVit__5296a802,Abstain,audited,linear
timm__GlobalContextVitBlock__8683a178,Abstain,audited,gelu|layer_norm|view
timm__GlobalContextVitStage__1906878a,Abstain,tested-only,checkpoint|contiguous|gelu|layer_norm|permute
timm__MbConvBlock__983d42de,Abstain,audited,conv2d|gelu
timm__Stem__8e32d116,Abstain,audited,conv2d|gelu
timm__WindowAttentionGlobal__ad24c494,Abstain,audited,contiguous|dropout|linear|permute|repeat|reshape|transpose|unbind
timm__VisionTransformerDistilled__032a9d92,Refuted,tested-only,cat|creation_ops|expand|linear|view
timm__BasicBlock__e2998185,Abstain,audited,
timm__BottleneckBlock__fd1e0bab,Abstain,audited,
timm__ByobNet__491ffc69,Abstain,audited,
timm__DarkBlock__375bb54f,Abstain,audited,
timm__DownsampleAvg__b958740c,Abstain,tested-only,avg_pool2d
timm__EdgeBlock__f4ebfba3,Abstain,audited,
timm__MobileOneBlock__a9033e51,Abstain,tested-only,batch_norm|conv2d|pad|reshape
timm__RepVggBlock__02fa50d1,Abstain,tested-only,batch_norm|conv2d|pad|reshape
timm__SelfAttnBlock__57172128,Abstain,audited,
timm__Stem__0600ee42,Refuted,tested-only,avg_pool2d|max_pool2d
timm__Attention2d__2e12b46f,Abstain,audited,chunk|contiguous|conv2d|dropout|reshape|transpose|unbind|view
timm__MultiQueryAttention2d__1d79bcf5,Abstain,tested-only,avg_pool2d|batch_norm|contiguous|dropout|einsum|permute|reshape|scaled_dot_product_attention|transpose|unsqueeze
timm__MultiQueryAttentionV2__2999ef94,Abstain,tested-only,creation_ops|dropout|einsum|reshape|transpose
timm__ConvMlp__320a5cbb,Abstain,audited,conv2d|dropout|relu
timm__GatedMlp__07760a6e,Abstain,audited,dropout|gelu|linear
timm__GlobalResponseNormMlp__3557ad2e,Abstain,audited,conv2d|dropout|gelu|linear
timm__GluMlp__85ab5720,Abstain,audited,chunk|conv2d|dropout|linear|sigmoid
timm__Mlp__62c90bd4,Abstain,audited,conv2d|dropout|gelu|linear
timm__SwiGLU__84a8d923,Abstain,audited,dropout|linear|silu
transformers__BertAttention__6252bb14,Abstain,audited,
transformers__BertEmbeddings__69ffff18,Abstain,tested-only,creation_ops|dropout|embed|expand|layer_norm
transformers__BertEncoder__1ec24e83,Abstain,audited,
transformers__BertForMaskedLM__f07c0986,Refuted,tested-only,cat|creation_ops|view
transformers__BertForMultipleChoice__e6a23721,Refuted,audited,dropout|linear|view
transformers__BertForNextSentencePrediction__ddcf8ce2,Refuted,audited,view
transformers__BertForPreTraining__fb4fc487,Refuted,audited,view
transformers__BertForQuestionAnswering__bfcb478d,Refuted,audited,clamp|contiguous|linear|split|squeeze
transformers__BertForSequenceClassification__b7751332,Refuted,audited,dropout|linear|squeeze|view
transformers__BertForTokenClassification__b3e3f097,Refuted,audited,dropout|linear|view
transformers__BertIntermediate__312fa54a,Abstain,audited,linear
transformers__BertLMHeadModel__ec7a8f20,Refuted,audited,
transformers__BertLMPredictionHead__239cfa65,Abstain,tested-only,creation_ops|linear
transformers__BertLayer__123bf444,Refuted,audited,
transformers__BertModel__9e1eaedc,Refuted,tested-only,creation_ops|expand
transformers__BertOnlyMLMHead__65f3818b,Abstain,audited,
transformers__BertOnlyNSPHead__b5da51c7,Verified,audited,linear
transformers__BertOutput__dc6ffac8,Verified,audited,dropout|layer_norm|linear
transformers__BertPooler__658a36e2,Verified,audited,linear|tanh
transformers__BertPreTrainedModel__f1864b27,Refuted,audited,embed|layer_norm|linear
transformers__BertPreTrainingHeads__c2e782bc,Abstain,audited,linear
transformers__BertPredictionHeadTransform__cd7753b8,Abstain,audited,layer_norm|linear
transformers__BertSdpaSelfAttention__29bd0f03,Refuted,audited,reshape|transpose|view
transformers__BertSelfAttention__fc15b00b,Abstain,tested-only,contiguous|creation_ops|dropout|einsum|embed|linear|matmul|permute|to|transpose|view
transformers__BertSelfOutput__d24a0336,Verified,audited,dropout|layer_norm|linear
transformers__GPT2Attention__35907b71,Abstain,tested-only,baddbmm|cat|contiguous|creation_ops|dropout|matmul|reshape|split|transpose|view|where
transformers__GPT2Block__5a2da440,Refuted,audited,layer_norm
transformers__GPT2DoubleHeadsModel__5882ffd8,Refuted,audited,contiguous|linear|squeeze|unsqueeze|view
